,id_pais,pais,region,id_region
130,MAR,Morocco,Africa,2
131,MOZ,Mozambique,Africa,2
132,MMR,Myanmar,Asia,0
133,NAM,Namibia,Africa,2
134,NRU,Nauru,Oceania,3
135,NPL,Nepal,Asia,0
136,NLD,Netherlands,Europe,1
137,ANT,Netherlands Antilles,Americas,5
138,NCL,New Caledonia,Oceania,3
139,NZL,New Zealand,Oceania,3
140,NIC,Nicaragua,Americas,5
141,NER,Niger,Africa,2
142,NGA,Nigeria,Africa,2
143,NIU,Niue,Oceania,3
144,PRK,North Korea,Asia,0
145,MKD,North Macedonia,Europe,1
146,MNP,Northern Mariana Islands,Oceania,3
147,NOR,Norway,Europe,1
148,OMN,Oman,Asia,0
149,PAK,Pakistan,Asia,0
150,PSE,Palestine,Asia,0
151,PAN,Panama,Americas,5
152,PNG,Papua New Guinea,Oceania,3
153,PRY,Paraguay,Americas,5
154,PER,Peru,Americas,5
155,PHL,Philippines,Asia,0
156,POL,Poland,Europe,1
157,PRT,Portugal,Europe,1
158,PRI,Puerto Rico,Americas,5
159,QAT,Qatar,Asia,0
160,REU,Reunion,Africa,2
161,ROU,Romania,Europe,1
162,RUS,Russia,Asia,0
163,RWA,Rwanda,Africa,2
164,SHN,Saint Helena,Africa,2
165,KNA,Saint Kitts and Nevis,Americas,5
166,LCA,Saint Lucia,Americas,5
167,SPM,Saint Pierre and Miquelon,Americas,5
168,VCT,Saint Vincent and the Grenadines,Americas,5
169,WSM,Samoa,Oceania,3
170,STP,Sao Tome and Principe,Africa,2
171,SAU,Saudi Arabia,Asia,0
172,SEN,Senegal,Africa,2
173,SRB,Serbia,Europe,1
174,SYC,Seychelles,Africa,2
175,SLE,Sierra Leone,Africa,2
176,SGP,Singapore,Asia,0
177,SVK,Slovakia,Europe,1
178,SVN,Slovenia,Europe,1
179,SLB,Solomon Islands,Oceania,3
180,SOM,Somalia,Africa,2
181,ZAF,South Africa,Africa,2
182,KOR,South Korea,Asia,0
183,SSD,South Sudan,Africa,2
184,ESP,Spain,Europe,1
185,LKA,Sri Lanka,Asia,0
186,SDN,Sudan,Africa,2
187,SUR,Suriname,Americas,5
188,SWE,Sweden,Europe,1
189,CHE,Switzerland,Europe,1
190,SYR,Syria,Asia,0
191,TWN,Taiwan,Asia,0
192,TJK,Tajikistan,Asia,0
193,TZA,Tanzania,Africa,2
194,THA,Thailand,Asia,0
195,TLS,Timor,Asia,0
196,TGO,Togo,Africa,2
197,TON,Tonga,Oceania,3
198,TTO,Trinidad and Tobago,Americas,5
199,TUN,Tunisia,Africa,2
200,TUR,Turkey,Asia,0
201,TKM,Turkmenistan,Asia,0
202,TCA,Turks and Caicos Islands,Americas,5
203,TUV,Tuvalu,Oceania,3
204,UGA,Uganda,Africa,2
205,UKR,Ukraine,Europe,1
206,ARE,United Arab Emirates,Asia,0
207,GBR,United Kingdom,Europe,1
208,USA,United States,Americas,5
209,VIR,United States Virgin Islands,Americas,5
210,URY,Uruguay,Americas,5
211,UZB,Uzbekistan,Asia,0
212,VUT,Vanuatu,Oceania,3
213,VEN,Venezuela,Americas,5
214,VNM,Vietnam,Asia,0
215,ESH,Western Sahara,Africa,2
217,YEM,Yemen,Asia,0
218,ZMB,Zambia,Africa,2
219,ZWE,Zimbabwe,Africa,2
